ID,conc,ind,qst,X,Y
4,Conc1.JPG,1,B4,389,316
4,Conc1.JPG,1,B5,520,393
4,Conc1.JPG,1,B6,94,344
4,Conc1.JPG,1,B7,327,369
4,Conc1.JPG,2,B4,532,320
4,Conc1.JPG,2,B5,-1,-1
4,Conc1.JPG,2,B6,517,315
4,Conc1.JPG,2,B7,446,369
4,Conc1.JPG,3,B4,433,367
4,Conc1.JPG,3,B5,-1,-1
4,Conc1.JPG,3,B6,472,469
4,Conc1.JPG,3,B7,214,394
4,Conc1.JPG,4,B4,414,446
4,Conc1.JPG,4,B5,-1,-1
4,Conc1.JPG,4,B6,548,467
4,Conc1.JPG,4,B7,402,394
4,Conc1.JPG,5,B4,466,440
4,Conc1.JPG,5,B5,-1,-1
4,Conc1.JPG,5,B6,-1,-1
4,Conc1.JPG,5,B7,505,397
4,Conc1.JPG,6,B4,529,446
4,Conc1.JPG,6,B5,-1,-1
4,Conc1.JPG,6,B6,-1,-1
4,Conc1.JPG,6,B7,141,469
4,Conc1.JPG,7,B4,-1,-1
4,Conc1.JPG,7,B5,-1,-1
4,Conc1.JPG,7,B6,-1,-1
4,Conc1.JPG,7,B7,281,471
4,Conc1.JPG,8,B4,-1,-1
4,Conc1.JPG,8,B5,-1,-1
4,Conc1.JPG,8,B6,-1,-1
4,Conc1.JPG,8,B7,462,472
4,Conc1.JPG,9,B4,-1,-1
4,Conc1.JPG,9,B5,-1,-1
4,Conc1.JPG,9,B6,-1,-1
4,Conc1.JPG,9,B7,569,469
4,Conc1.JPG,10,B4,-1,-1
4,Conc1.JPG,10,B5,-1,-1
4,Conc1.JPG,10,B6,-1,-1
4,Conc1.JPG,10,B7,-1,-1
4,Conc1.JPG,11,B4,-1,-1
4,Conc1.JPG,11,B5,-1,-1
4,Conc1.JPG,11,B6,-1,-1
4,Conc1.JPG,11,B7,-1,-1
4,Conc1.JPG,12,B4,-1,-1
4,Conc1.JPG,12,B5,-1,-1
4,Conc1.JPG,12,B6,-1,-1
4,Conc1.JPG,12,B7,-1,-1
4,Conc1.JPG,13,B4,-1,-1
4,Conc1.JPG,13,B5,-1,-1
4,Conc1.JPG,13,B6,-1,-1
4,Conc1.JPG,13,B7,-1,-1
4,Conc1.JPG,14,B4,-1,-1
4,Conc1.JPG,14,B5,-1,-1
4,Conc1.JPG,14,B6,-1,-1
4,Conc1.JPG,14,B7,-1,-1
4,Conc1.JPG,15,B4,-1,-1
4,Conc1.JPG,15,B5,-1,-1
4,Conc1.JPG,15,B6,-1,-1
4,Conc1.JPG,15,B7,-1,-1
4,Conc1.JPG,16,B4,-1,-1
4,Conc1.JPG,16,B5,-1,-1
4,Conc1.JPG,16,B6,-1,-1
4,Conc1.JPG,16,B7,-1,-1
4,Conc1.JPG,17,B4,-1,-1
4,Conc1.JPG,17,B5,-1,-1
4,Conc1.JPG,17,B6,-1,-1
4,Conc1.JPG,17,B7,-1,-1
4,Conc1.JPG,18,B4,-1,-1
4,Conc1.JPG,18,B5,-1,-1
4,Conc1.JPG,18,B6,-1,-1
4,Conc1.JPG,18,B7,-1,-1
4,Conc1.JPG,19,B4,-1,-1
4,Conc1.JPG,19,B5,-1,-1
4,Conc1.JPG,19,B6,-1,-1
4,Conc1.JPG,19,B7,-1,-1
4,Conc1.JPG,20,B4,-1,-1
4,Conc1.JPG,20,B5,-1,-1
4,Conc1.JPG,20,B6,-1,-1
4,Conc1.JPG,20,B7,-1,-1
4,Conc1.JPG,21,B4,-1,-1
4,Conc1.JPG,21,B5,-1,-1
4,Conc1.JPG,21,B6,-1,-1
4,Conc1.JPG,21,B7,-1,-1
4,Conc1.JPG,22,B4,-1,-1
4,Conc1.JPG,22,B5,-1,-1
4,Conc1.JPG,22,B6,-1,-1
4,Conc1.JPG,22,B7,-1,-1
4,Conc1.JPG,23,B4,-1,-1
4,Conc1.JPG,23,B5,-1,-1
4,Conc1.JPG,23,B6,-1,-1
4,Conc1.JPG,23,B7,-1,-1
4,Conc1.JPG,24,B4,-1,-1
4,Conc1.JPG,24,B5,-1,-1
4,Conc1.JPG,24,B6,-1,-1
4,Conc1.JPG,24,B7,-1,-1
4,Conc1.JPG,25,B4,-1,-1
4,Conc1.JPG,25,B5,-1,-1
4,Conc1.JPG,25,B6,-1,-1
4,Conc1.JPG,25,B7,-1,-1
4,Conc1.JPG,26,B4,-1,-1
4,Conc1.JPG,26,B5,-1,-1
4,Conc1.JPG,26,B6,-1,-1
4,Conc1.JPG,26,B7,-1,-1
4,Conc1.JPG,27,B4,-1,-1
4,Conc1.JPG,27,B5,-1,-1
4,Conc1.JPG,27,B6,-1,-1
4,Conc1.JPG,27,B7,-1,-1
4,Conc1.JPG,28,B4,-1,-1
4,Conc1.JPG,28,B5,-1,-1
4,Conc1.JPG,28,B6,-1,-1
4,Conc1.JPG,28,B7,-1,-1
4,Conc1.JPG,29,B4,-1,-1
4,Conc1.JPG,29,B5,-1,-1
4,Conc1.JPG,29,B6,-1,-1
4,Conc1.JPG,29,B7,-1,-1
4,Conc1.JPG,30,B4,-1,-1
4,Conc1.JPG,30,B5,-1,-1
4,Conc1.JPG,30,B6,-1,-1
4,Conc1.JPG,30,B7,-1,-1
5,Conc1.JPG,1,B4,74,240
5,Conc1.JPG,1,B5,-1,-1
5,Conc1.JPG,1,B6,125,550
5,Conc1.JPG,1,B7,61,316
5,Conc1.JPG,2,B4,165,239
5,Conc1.JPG,2,B5,-1,-1
5,Conc1.JPG,2,B6,63,523
5,Conc1.JPG,2,B7,133,316
5,Conc1.JPG,3,B4,227,240
5,Conc1.JPG,3,B5,-1,-1
5,Conc1.JPG,3,B6,121,514
5,Conc1.JPG,3,B7,203,316
5,Conc1.JPG,4,B4,290,239
5,Conc1.JPG,4,B5,-1,-1
5,Conc1.JPG,4,B6,256,543
5,Conc1.JPG,4,B7,310,320
5,Conc1.JPG,5,B4,462,239
5,Conc1.JPG,5,B5,-1,-1
5,Conc1.JPG,5,B6,339,544
5,Conc1.JPG,5,B7,379,316
5,Conc1.JPG,6,B4,342,236
5,Conc1.JPG,6,B5,-1,-1
5,Conc1.JPG,6,B6,383,543
5,Conc1.JPG,6,B7,445,316
5,Conc1.JPG,7,B4,115,267
5,Conc1.JPG,7,B5,-1,-1
5,Conc1.JPG,7,B6,455,542
5,Conc1.JPG,7,B7,507,316
5,Conc1.JPG,8,B4,251,369
5,Conc1.JPG,8,B5,-1,-1
5,Conc1.JPG,8,B6,523,542
5,Conc1.JPG,8,B7,369,345
5,Conc1.JPG,9,B4,338,366
5,Conc1.JPG,9,B5,-1,-1
5,Conc1.JPG,9,B6,18,445
5,Conc1.JPG,9,B7,293,343
5,Conc1.JPG,10,B4,416,365
5,Conc1.JPG,10,B5,-1,-1
5,Conc1.JPG,10,B6,73,448
5,Conc1.JPG,10,B7,178,345
5,Conc1.JPG,11,B4,55,395
5,Conc1.JPG,11,B5,-1,-1
5,Conc1.JPG,11,B6,158,445
5,Conc1.JPG,11,B7,500,345
5,Conc1.JPG,12,B4,198,390
5,Conc1.JPG,12,B5,-1,-1
5,Conc1.JPG,12,B6,251,444
5,Conc1.JPG,12,B7,536,342
5,Conc1.JPG,13,B4,293,396
5,Conc1.JPG,13,B5,-1,-1
5,Conc1.JPG,13,B6,326,448
5,Conc1.JPG,13,B7,22,447
5,Conc1.JPG,14,B4,338,396
5,Conc1.JPG,14,B5,-1,-1
5,Conc1.JPG,14,B6,392,444
5,Conc1.JPG,14,B7,74,447
5,Conc1.JPG,15,B4,500,392
5,Conc1.JPG,15,B5,-1,-1
5,Conc1.JPG,15,B6,468,445
5,Conc1.JPG,15,B7,152,443
5,Conc1.JPG,16,B4,-1,-1
5,Conc1.JPG,16,B5,-1,-1
5,Conc1.JPG,16,B6,534,440
5,Conc1.JPG,16,B7,232,445
5,Conc1.JPG,17,B4,-1,-1
5,Conc1.JPG,17,B5,-1,-1
5,Conc1.JPG,17,B6,21,470
5,Conc1.JPG,17,B7,326,449
5,Conc1.JPG,18,B4,-1,-1
5,Conc1.JPG,18,B5,-1,-1
5,Conc1.JPG,18,B6,91,472
5,Conc1.JPG,18,B7,409,440
5,Conc1.JPG,19,B4,-1,-1
5,Conc1.JPG,19,B5,-1,-1
5,Conc1.JPG,19,B6,206,473
5,Conc1.JPG,19,B7,463,441
5,Conc1.JPG,20,B4,-1,-1
5,Conc1.JPG,20,B5,-1,-1
5,Conc1.JPG,20,B6,272,473
5,Conc1.JPG,20,B7,548,445
5,Conc1.JPG,21,B4,-1,-1
5,Conc1.JPG,21,B5,-1,-1
5,Conc1.JPG,21,B6,424,473
5,Conc1.JPG,21,B7,-1,-1
5,Conc1.JPG,22,B4,-1,-1
5,Conc1.JPG,22,B5,-1,-1
5,Conc1.JPG,22,B6,566,472
5,Conc1.JPG,22,B7,-1,-1
5,Conc1.JPG,23,B4,-1,-1
5,Conc1.JPG,23,B5,-1,-1
5,Conc1.JPG,23,B6,-1,-1
5,Conc1.JPG,23,B7,-1,-1
5,Conc1.JPG,24,B4,-1,-1
5,Conc1.JPG,24,B5,-1,-1
5,Conc1.JPG,24,B6,-1,-1
5,Conc1.JPG,24,B7,-1,-1
5,Conc1.JPG,25,B4,-1,-1
5,Conc1.JPG,25,B5,-1,-1
5,Conc1.JPG,25,B6,-1,-1
5,Conc1.JPG,25,B7,-1,-1
5,Conc1.JPG,26,B4,-1,-1
5,Conc1.JPG,26,B5,-1,-1
5,Conc1.JPG,26,B6,-1,-1
5,Conc1.JPG,26,B7,-1,-1
5,Conc1.JPG,27,B4,-1,-1
5,Conc1.JPG,27,B5,-1,-1
5,Conc1.JPG,27,B6,-1,-1
5,Conc1.JPG,27,B7,-1,-1
5,Conc1.JPG,28,B4,-1,-1
5,Conc1.JPG,28,B5,-1,-1
5,Conc1.JPG,28,B6,-1,-1
5,Conc1.JPG,28,B7,-1,-1
5,Conc1.JPG,29,B4,-1,-1
5,Conc1.JPG,29,B5,-1,-1
5,Conc1.JPG,29,B6,-1,-1
5,Conc1.JPG,29,B7,-1,-1
5,Conc1.JPG,30,B4,-1,-1
5,Conc1.JPG,30,B5,-1,-1
5,Conc1.JPG,30,B6,-1,-1
5,Conc1.JPG,30,B7,-1,-1
6,Conc1.JPG,1,B4,521,318
6,Conc1.JPG,1,B5,-1,-1
6,Conc1.JPG,1,B6,-1,-1
6,Conc1.JPG,1,B7,1106,256
6,Conc1.JPG,2,B4,159,347
